,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
184,3515905,FLOREAL,-20.6752,-50.1513,0,35,6419,17,America/Sao_Paulo
185,3516002,FLORIDA PAULISTA,-21.6127,-51.1724,0,35,6421,18,America/Sao_Paulo
186,3516101,FLORINIA,-22.868,-50.6814,0,35,6423,18,America/Sao_Paulo
187,3516200,FRANCA,-20.5352,-47.4039,0,35,6425,16,America/Sao_Paulo
188,3516309,FRANCISCO MORATO,-23.2792,-46.7448,0,35,6427,11,America/Sao_Paulo
189,3516408,FRANCO DA ROCHA,-23.3229,-46.729,0,35,6429,11,America/Sao_Paulo
190,3516507,GABRIEL MONTEIRO,-21.5294,-50.5573,0,35,6431,18,America/Sao_Paulo
191,3516606,GALIA,-22.2918,-49.5504,0,35,6433,14,America/Sao_Paulo
192,3516705,GARCA,-22.2125,-49.6546,0,35,6435,14,America/Sao_Paulo
193,3516804,GASTAO VIDIGAL,-20.7948,-50.1912,0,35,6437,17,America/Sao_Paulo
194,3516853,GAVIAO PEIXOTO,-21.8367,-48.4957,0,35,798,16,America/Sao_Paulo
195,3516903,GENERAL SALGADO,-20.6485,-50.364,0,35,6439,17,America/Sao_Paulo
196,3517000,GETULINA,-21.7961,-49.9312,0,35,6441,14,America/Sao_Paulo
197,3517109,GLICERIO,-21.3812,-50.2123,0,35,6443,18,America/Sao_Paulo
198,3517208,GUAICARA,-21.6195,-49.8013,0,35,6445,14,America/Sao_Paulo
199,3517307,GUAIMBE,-21.9091,-49.8986,0,35,6447,14,America/Sao_Paulo
200,3517406,GUAIRA,-20.3196,-48.312,0,35,6449,17,America/Sao_Paulo
201,3517505,GUAPIACU,-20.7959,-49.2172,0,35,6451,17,America/Sao_Paulo
202,3517604,GUAPIARA,-24.1892,-48.5295,0,35,6453,15,America/Sao_Paulo
203,3517703,GUARA,-20.4302,-47.8236,0,35,6455,16,America/Sao_Paulo
204,3517802,GUARACAI,-21.0292,-51.2119,0,35,6457,18,America/Sao_Paulo
205,3517901,GUARACI,-20.4977,-48.9391,0,35,6459,17,America/Sao_Paulo
206,3518008,GUARANI D'OESTE,-20.0746,-50.3411,0,35,6461,17,America/Sao_Paulo
207,3518107,GUARANTA,-21.8942,-49.5914,0,35,6463,14,America/Sao_Paulo
208,3518206,GUARARAPES,-21.2544,-50.6453,0,35,6465,18,America/Sao_Paulo
209,3518305,GUARAREMA,-23.4112,-46.0369,0,35,6467,11,America/Sao_Paulo
210,3518404,GUARATINGUETA,-22.8075,-45.1938,0,35,6469,12,America/Sao_Paulo
211,3518503,GUAREI,-23.3714,-48.1837,0,35,6471,15,America/Sao_Paulo
212,3518602,GUARIBA,-21.3594,-48.2316,0,35,6473,16,America/Sao_Paulo
213,3518701,GUARUJA,-23.9888,-46.258,0,35,6475,13,America/Sao_Paulo
214,3518800,GUARULHOS,-23.4538,-46.5333,0,35,6477,11,America/Sao_Paulo
215,3518859,GUATAPARA,-21.4944,-48.0356,0,35,7257,16,America/Sao_Paulo
