,data,nome_feriado,tipo_feriado,descricao_feriado,UF,Cidade
1144,15/09/2018,Feriado Municipal,MUNICIPAL,,SP,Salto Grande 
1145,27/12/2018,Feriado Municipal,MUNICIPAL,,SP,Salto Grande 
1146,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Sandovalina 
1147,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,Sandovalina 
1148,22/03/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Adélia 
1149,16/12/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Adélia 
1150,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Albertina 
1151,22/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Branca 
1152,21/03/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Clara d'Oeste 
1153,20/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Clara d'Oeste 
1154,11/08/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Clara d'Oeste 
1155,03/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Cruz da Conceição 
1156,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Cruz da Conceição 
1157,03/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Cruz das Palmeiras 
1158,14/09/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Cruz das Palmeiras 
1159,20/01/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Cruz do Rio Pardo 
1160,13/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Cruz do Rio Pardo 
1161,26/07/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Ernestina 
1162,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Fé do Sul 
1163,26/07/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Gertrudes 
1164,16/08/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Gertrudes 
1165,04/07/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Isabel 
1166,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Santa Lúcia 
1167,19/12/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Lúcia 
1168,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Maria da Serra 
1169,24/09/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Mercedes 
1170,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Santa Mercedes 
1171,22/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Rita do Passa Quatro 
1172,22/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santa Rita d'Oeste 
1173,21/03/2018,Feriado Municipal,MUNICIPAL,,SP,Santana da Ponte Pensa 
1174,26/07/2018,Feriado Municipal,MUNICIPAL,,SP,Santana da Ponte Pensa 
1175,26/07/2018,Feriado Municipal,MUNICIPAL,,SP,Santana de Parnaíba 
1176,14/11/2018,Feriado Municipal,MUNICIPAL,,SP,Santana de Parnaíba 
1177,22/01/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Anastácio 
1178,19/11/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Anastácio 
1179,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Anastácio 
1180,08/04/2018,Aniversário da cidade,MUNICIPAL,,SP,Santo André 
1181,06/01/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Antônio da Alegria 
1182,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Santo Antônio da Alegria 
1183,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Santo Antônio de Posse 
1184,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Antônio de Posse 
1185,26/03/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Antônio do Jardim 
1186,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Santo Antônio do Jardim 
1187,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Santo Antônio do Jardim 
1188,26/01/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Antônio do Pinhal 
1189,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Santo Antônio do Pinhal 
1190,19/04/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Expedito 
1191,10/12/2018,Feriado Municipal,MUNICIPAL,,SP,Santo Expedito 
1192,03/05/2018,Feriado Municipal,MUNICIPAL,,SP,Santópolis do Aguapeí 
1193,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Santópolis do Aguapeí 
1194,27/11/2018,Feriado Municipal,MUNICIPAL,,SP,Santópolis do Aguapeí 
1195,11/07/2018,Feriado Municipal,MUNICIPAL,,SP,São Bento do Sapucaí 
1196,16/08/2018,Feriado Municipal,MUNICIPAL,,SP,São Bento do Sapucaí 
1197,20/08/2018,Aniversário da cidade,MUNICIPAL,,SP,São Bernardo do Campo 
1198,28/07/2018,Feriado Municipal,MUNICIPAL,,SP,São Caetano do Sul 
1199,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,São Carlos 
1200,04/11/2018,Feriado Municipal,MUNICIPAL,,SP,São Carlos 
1201,03/05/2018,Feriado Municipal,MUNICIPAL,,SP,São Francisco 
1202,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,São João da Boa Vista 
1203,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,São João das Duas Pontes 
1204,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,São João do Pau d'Alho 
1205,29/06/2018,Feriado Municipal,MUNICIPAL,,SP,São João do Pau d'Alho 
1206,30/05/2018,Feriado Municipal,MUNICIPAL,,SP,São Joaquim da Barra 
1207,26/07/2018,Feriado Municipal,MUNICIPAL,,SP,São Joaquim da Barra 
1208,03/04/2018,Feriado Municipal,MUNICIPAL,,SP,São José da Bela Vista 
1209,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,São José da Bela Vista 
1210,09/03/2018,Feriado Municipal,MUNICIPAL,,SP,São José do Barreiro 
1211,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,São José do Rio Pardo 
1212,19/03/2018,Dia de São José,MUNICIPAL,,SP,São José do Rio Preto 
1213,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,São José do Rio Preto 
1214,08/12/2018,Imaculada Conceição,MUNICIPAL,,SP,São José do Rio Preto 
1215,30/03/2018,Sexta-feira Santa,MUNICIPAL,,SP,São José dos Campos 
1216,31/05/2018,Corpus Christi,MUNICIPAL,,SP,São José dos Campos 
1217,12/03/2018,Feriado Municipal,MUNICIPAL,,SP,São Lourenço da Serra 
1218,10/08/2018,Feriado Municipal,MUNICIPAL,,SP,São Lourenço da Serra 
1219,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,São Lourenço da Serra 
1220,17/06/2018,Feriado Municipal,MUNICIPAL,,SP,São Manuel 
1221,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,São Manuel 
1222,29/09/2018,Feriado Municipal,MUNICIPAL,,SP,São Miguel Arcanjo 
1223,22/02/2018,Feriado Municipal,MUNICIPAL,,SP,São Pedro 
1224,29/06/2018,Feriado Municipal,MUNICIPAL,,SP,São Pedro 
1225,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,São Pedro 
1226,29/05/2018,Feriado Municipal,MUNICIPAL,,SP,São Pedro do Turvo 
1227,29/06/2018,Feriado Municipal,MUNICIPAL,,SP,São Pedro do Turvo 
1228,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,São Pedro do Turvo 
1229,16/08/2018,Feriado Municipal,MUNICIPAL,,SP,São Roque 
1230,20/01/2018,Feriado Municipal,MUNICIPAL,,SP,São Sebastião 
1231,16/03/2018,Feriado Municipal,MUNICIPAL,,SP,São Sebastião 
1232,20/01/2018,Feriado Municipal,MUNICIPAL,,SP,São Sebastião da Grama 
1233,04/11/2018,Feriado Municipal,MUNICIPAL,,SP,São Sebastião da Grama 
1234,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,São Simão 
1235,13/03/2018,Feriado Municipal,MUNICIPAL,,SP,Sarapuí 
1236,15/09/2018,Feriado Municipal,MUNICIPAL,,SP,Sarapuí 
1237,18/02/2018,Feriado Municipal,MUNICIPAL,,SP,Sarutaiá 
1238,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Sarutaiá 
1239,20/01/2018,Feriado Municipal,MUNICIPAL,,SP,Sebastianópolis do Sul 
1240,28/02/2018,Feriado Municipal,MUNICIPAL,,SP,Sebastianópolis do Sul 
1241,06/08/2018,Feriado Municipal,MUNICIPAL,,SP,Sebastianópolis do Sul 
1242,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Sebastianópolis do Sul 
1243,14/11/2018,Feriado Municipal,MUNICIPAL,,SP,Serra Azul 
1244,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Serra Azul 
1245,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Serra Azul 
1246,23/09/2018,Feriado Municipal,MUNICIPAL,,SP,Serra Negra 
1247,01/11/2018,Feriado Municipal,MUNICIPAL,,SP,Serra Negra 
1248,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Serra Negra 
1249,10/04/2018,Feriado Municipal,MUNICIPAL,,SP,Serrana 
1250,15/09/2018,Feriado Municipal,MUNICIPAL,,SP,Serrana 
1251,05/12/2018,Feriado Municipal,MUNICIPAL,,SP,Sertãozinho 
1252,24/06/2018,Feriado Municipal,MUNICIPAL,,SP,Sete Barras 
1253,18/12/2018,Feriado Municipal,MUNICIPAL,,SP,Sete Barras 
1254,19/02/2018,Feriado Municipal,MUNICIPAL,,SP,Severínia 
1255,01/11/2018,Feriado Municipal,MUNICIPAL,,SP,Severínia 
1256,28/02/2018,Feriado Municipal,MUNICIPAL,,SP,Silveiras 
1257,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Silveiras 
1258,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,Socorro 
1259,15/08/2018,Aniversário da cidade,MUNICIPAL,,SP,Sorocaba 
1260,10/09/2018,Feriado Municipal,MUNICIPAL,,SP,Sud Mennucci 
1261,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Sud Mennucci 
1262,26/07/2018,Feriado Municipal,MUNICIPAL,,SP,Sumaré 
1263,02/04/2018,Feriado Municipal,MUNICIPAL,,SP,Suzano 
1264,27/11/2018,Feriado Municipal,MUNICIPAL,,SP,Tabapuã 
1265,01/11/2018,Feriado Municipal,MUNICIPAL,,SP,Taciba 
1266,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Taciba 
1267,18/02/2018,Feriado Municipal,MUNICIPAL,,SP,Taguaí 
1268,22/05/2018,Feriado Municipal,MUNICIPAL,,SP,Taguaí 
1269,30/12/2018,Feriado Municipal,MUNICIPAL,,SP,Taiaçu 
1270,13/06/2018,Dia de Santo Antônio,MUNICIPAL,,SP,Taiúva 
1271,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Taiúva 
1272,16/06/2018,Feriado Municipal,MUNICIPAL,,SP,Tambaú 
1273,20/08/2018,Feriado Municipal,MUNICIPAL,,SP,Tambaú 
1274,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Tanabi 
1275,19/02/2018,Feriado Municipal,MUNICIPAL,,SP,Tapiraí 
1276,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Tapiraí 
1277,25/11/2018,Feriado Municipal,MUNICIPAL,,SP,Tapiraí 
1278,27/12/2018,Feriado Municipal,MUNICIPAL,,SP,Tapiratiba 
1279,20/01/2018,Feriado Municipal,MUNICIPAL,,SP,Taquaritinga 
1280,16/08/2018,Feriado Municipal,MUNICIPAL,,SP,Taquaritinga 
